Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PuckLine
1007,1,V,Montreal,1,0,2,3,-135,-170,-1.5(+170)
1007,2,H,Toronto,0,1,0,1,5o25,5o15,+1.5(-200)
1007,3,V,NYRangers,3,0,0,3,5o25,5,+1.5(-260)
1007,4,H,Chicago,1,1,0,2,-150,-135,-1.5(+210)
1007,5,V,Vancouver,2,1,2,5,5.5u20,5.5u40,+1.5(-245)
1007,6,H,Calgary,0,1,0,1,-140,-135,-1.5(+205)
1007,7,V,SanJose,2,2,1,5,5o15,5o15,+1.5(-230)
1007,8,H,LosAngeles,1,0,0,1,-150,-160,-1.5(+190)
1008,51,V,Ottawa,1,1,1,3,-125,-145,-1.5(+205)
1008,52,H,Buffalo,0,0,1,1,5o30,5.5u25,+1.5(-245)
1008,53,V,Winnipeg,0,3,3,6,5o20,5,+1.5(-290)
1008,54,H,Boston,1,0,1,2,-130,-120,-1.5(+230)
1008,55,V,Philadelphia,0,2,0,2,5.5,5.5u40,+1.5(-170)
1008,56,H,TampaBay,0,2,0,3,-200,-200,-1.5(+150)
1008,57,V,Edmonton,1,0,0,1,5.5u20,5o40,+1.5(-175)
1008,58,H,St.Louis,0,1,2,3,-200,-185,-1.5(+155)
1008,59,V,Carolina,0,0,1,1,5o30,5o20,+1.5(-170)
1008,60,H,Nashville,2,0,0,2,-200,-190,-1.5(+150)
1008,61,V,Pittsburgh,0,0,0,0,-105,5.5u15,+1.5(-300)
1008,62,H,Dallas,1,1,1,3,5.5o15,-115,-1.5(+240)
1008,63,V,Minnesota,0,1,4,5,-120,-135,-1.5(+225)
1008,64,H,Colorado,3,1,0,4,5o30,5o25,+1.5(-275)
1009,1,V,Winnipeg,0,3,0,3,-120,-123,-1.5(+230)
1009,2,H,NewJersey,0,1,0,1,5,5,+1.5(-290)
1009,3,V,NYRangers,1,0,3,4,-105,-117,+1.5(-325)
1009,4,H,Columbus,0,1,1,2,5o35,5.5u40,-1.5(+260)
1009,5,V,Chicago,1,1,0,3,-115,-112,-1.5(+250)
1009,6,H,NYIslanders,0,1,1,2,5o30,5.5u30,+1.5(-310)
1009,7,V,Toronto,0,0,0,0,5o40,5o40,+1.5(-210)
1009,8,H,Detroit,2,2,0,4,-220,-165,-1.5(+180)
1009,9,V,Arizona,2,2,0,4,5o20,5o15,+1.5(-130)
1009,10,H,LosAngeles,0,1,0,1,-240,-260,-1.5(+110)
1010,51,V,TampaBay,0,2,2,4,-185,-215,-1.5(+140)
1010,52,H,Buffalo,0,1,0,1,5o40,5.5u30,+1.5(-160)
1010,53,V,Montreal,1,2,1,4,-120,-115,-1.5(+250)
1010,54,H,Boston,0,1,1,2,5u25,5u25,+1.5(-310)
1010,55,V,Edmonton,0,0,0,0,5.5u35,5.5u40,+1.5(-180)
1010,56,H,Nashville,0,1,1,2,-185,-200,-1.5(+160)
1010,57,V,Ottawa,0,3,1,5,-145,-155,-1.5(+190)
1010,58,H,Toronto,0,2,2,4,5.5u40,5.5u35,+1.5(-230)
1010,59,V,Detroit,0,1,3,4,-125,-115,-1.5(+260)
