"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2013-03-31,1,64,54,34,20,61.36,50.62,31.88,1,2,-1,33.33,0.94,1.88,1.56,1.47,0.1,51.63,1.47,1.37,1,2,1,3.33,88.89,92.22
"ANA",2013-04-01,1,60,55,53,2,50.93,55,53,4,0,4,100,4,0,2.77,2.46,0.31,53,2.77,2.46,4,2,-2,13.33,100,113.33
"ANA",2013-04-03,1,60,40,50,-10,44.44,40,50,5,2,3,71.43,5,2,2.47,1.45,1.03,63.1,2.47,1.45,0,1,1,18.52,92,110.52
"ANA",2013-04-05,1,60,59,50,9,54.13,59,50,1,3,-2,25,1,3,2.99,2.56,0.44,53.94,2.99,2.56,7,5,-2,3.57,88,91.57
"ANA",2013-04-07,1,65,36,74,-38,32.73,33.23,68.31,3,3,0,50,2.77,2.77,1.98,2.59,-0.61,43.36,1.83,2.39,3,5,2,13.64,92.11,105.74
"ANA",2013-04-08,1,60,69,51,18,57.5,69,51,2,1,1,66.67,2,1,3.65,2.22,1.42,62.13,3.65,2.22,3,5,2,5.26,96.43,101.69
"ANA",2013-04-10,1,60,42,55,-13,43.3,42,55,1,4,-3,20,1,4,1.54,2.71,-1.17,36.19,1.54,2.71,2,3,1,4.55,85.71,90.26
"ANA",2013-04-13,1,60,38,57,-19,40,38,57,1,2,-1,33.33,1,2,1.5,2.13,-0.63,41.3,1.5,2.13,6,1,-5,5,88.89,93.89
"ANA",2013-04-17,1,62.32,43,59,-16,42.16,41.4,56.81,2,3,-1,40,1.93,2.89,1.94,3.41,-1.47,36.26,1.87,3.28,5,5,0,7.14,89.29,96.43
"ANA",2013-04-19,1,60,69,53,16,56.56,69,53,1,3,-2,25,1,3,1.59,3.18,-1.59,33.39,1.59,3.18,5,5,0,3.03,90.32,93.35
"ANA",2013-04-21,1,60,63,53,10,54.31,63,53,3,1,2,75,3,1,3.71,1.88,1.83,66.37,3.71,1.88,4,5,1,10,96.43,106.43
"ANA",2013-04-22,1,60,56,60,-4,48.28,56,60,3,0,3,100,3,0,2.98,1.63,1.35,64.67,2.98,1.63,3,3,0,10.71,100,110.71
"ANA",2013-04-25,1,60,45,59,-14,43.27,45,59,3,1,2,75,3,1,2.05,1.65,0.4,55.46,2.05,1.65,4,3,-1,10,96.55,106.55
"ANA",2013-04-27,1,60,72,59,13,54.96,72,59,3,5,-2,37.5,3,5,4.14,2.93,1.21,58.58,4.14,2.93,2,5,3,6.52,83.87,90.39
"ANA",2013-04-30,1,60,50,55,-5,47.62,50,55,3,1,2,75,3,1,2.28,2.18,0.11,51.2,2.28,2.18,4,4,0,11.11,95.45,106.57
