Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close
119,1,V,Pittsburgh ,2,0,1,3,-115,-110
119,2,H,Philadelphia ,0,1,0,1,6o25,6o30
119,3,V,Ottawa ,1,1,2,4,6u20,6u35
119,4,H,Winnipeg ,1,0,0,1,-120,-125
119,5,V,Chicago ,3,1,1,5,5o15,5o35
119,6,H,Los Angeles ,0,1,1,2,-130,-125
119,7,V,NY Rangers ,0,1,0,1,5o20,5o25
119,8,H,Boston ,1,1,1,3,-120,-140
119,9,V,Toronto ,1,1,0,2,5.5u20,5.5u25
119,10,H,Montreal ,0,0,1,1,-135,-140
119,11,V,New Jersey ,0,1,1,2,-120,-120
119,12,H,NY Islanders ,0,0,1,1,5o20,5o35
119,13,V,Washington ,1,2,0,3,-104,6u40
119,14,H,Tampa Bay ,2,1,3,6,6u20,-115
119,15,V,Carolina ,0,1,0,1,5o25,5o40
119,16,H,Florida ,4,1,0,5,-120,-120
119,17,V,Detroit ,0,0,0,0,5o15,5o30
119,18,H,St. Louis ,2,2,2,6,-135,-140
119,19,V,Columbus ,1,1,0,3,5.5u20,5.5u25
119,20,H,Nashville ,2,0,0,2,-182,-170
119,21,V,Phoenix ,0,2,1,3,5o15,5o25
119,22,H,Dallas ,1,1,2,4,-125,-120
119,23,V,Colorado ,1,0,1,2,5o25,5o25
119,24,H,Minnesota ,0,3,1,4,-130,-135
119,25,V,Anaheim ,2,4,1,7,5.5u15,5.5u45
119,26,H,Vancouver ,2,0,1,3,-175,-150
120,51,V,Philadelphia ,0,2,0,2,5.5o10,5.5o15
120,52,H,Buffalo ,1,1,3,5,-115,-135
120,53,V,Pittsburgh ,3,1,2,6,5.5u10,-110
120,54,H,NY Rangers ,1,0,2,3,-115,5.5u35
120,55,V,San Jose ,0,3,1,4,-104,-125
120,56,H,Calgary ,1,0,0,1,5o35,5o40
120,57,V,Dallas ,0,0,0,0,5o35,5o45
120,58,H,Minnesota ,1,0,0,1,-145,-155
120,59,V,Edmonton ,0,1,1,3,5.5u10,5.5u25
120,60,H,Vancouver ,1,1,0,2,-150,-140
120,61,V,Chicago ,1,3,2,6,-115,-110
120,62,H,Phoenix ,1,1,2,4,5.5u40,5.5u35
121,1,V,Winnipeg ,1,0,0,1,5.5o15,5.5o15
121,2,H,Boston ,1,0,0,2,-197,-200
121,3,V,Tampa Bay ,0,0,3,3,-115,-120
121,4,H,NY Islanders ,0,3,1,4,5.5o35,5.5o30
121,5,V,St. Louis ,2,0,1,4,5o15,-125
121,6,H,Nashville ,2,1,0,3,-109,5o15
121,7,V,Buffalo ,1,1,0,2,5.5u09,5.5u25
121,8,H,Toronto ,0,0,1,1,-115,-120
121,9,V,Florida ,0,0,0,0,5.5u20,5.5u25
121,10,H,Ottawa ,1,1,2,4,-140,-140
121,11,V,Detroit ,0,2,1,4,-125,-130
121,12,H,Columbus ,0,1,2,3,5.5u09,5.5u30
121,13,V,Anaheim ,3,0,2,5,-104,-120
121,14,H,Calgary ,2,1,1,4,5.5u20,5.5u35
122,51,V,Winnipeg ,2,2,0,4,5.5o35,5.5o15
122,52,H,Washington ,1,0,1,2,-170,-160
122,53,V,Tampa Bay ,2,0,2,4,5.5o40,5.5o20
122,54,H,Carolina ,0,1,0,1,-135,-150
122,55,V,Florida ,0,1,0,1,5.5u31,5.5u45
122,56,H,Montreal ,2,2,0,4,-148,-150
122,57,V,Philadelphia ,0,0,0,0,5.5u26,-115
122,58,H,New Jersey ,2,1,0,3,-120,5.5u30
122,59,V,Dallas ,1,0,1,2,5.5u14,5.5u15
122,60,H,Detroit ,0,0,1,1,-165,-130
122,61,V,Nashville ,1,0,2,3,5o25,5o35
122,62,H,Minnesota ,1,0,0,1,-130,-150
122,63,V,St. Louis ,0,0,2,2,5.5u25,5.5u35
122,64,H,Chicago ,1,1,1,3,-125,-125
122,65,V,Los Angeles ,1,0,0,1,-104,-125
122,66,H,Colorado ,0,0,3,3,5o25,5o30
122,67,V,San Jose ,6,0,0,6,5.5u30,-125
122,68,H,Edmonton ,1,1,1,3,100,5.5u25
123,1,V,Toronto ,0,3,2,5,6,6
123,2,H,Pittsburgh ,1,1,0,2,-220,-220
123,3,V,Boston ,0,2,1,3,5o20,5o30
123,4,H,NY Rangers ,2,1,0,4,-130,-130
123,5,V,Calgary ,0,2,0,2,5.5u30,5.5u30
123,6,H,Vancouver ,0,2,0,3,-175,-175
123,7,V,Columbus ,0,1,0,1,5.5u30,5.5u30
123,8,H,Phoenix ,0,2,3,5,-165,-165
124,51,V,NY Islanders ,1,2,4,7,5.5,5.5
124,52,H,Toronto ,3,0,1,4,-130,-115
124,53,V,NY Rangers ,0,0,1,1,5.5u40,-115
124,54,H,Philadelphia ,0,2,0,2,-125,5.5u40
124,55,V,Montreal ,0,4,0,4,5.5u30,5.5u30
124,56,H,Washington ,0,0,1,1,-140,-130
124,57,V,Buffalo ,0,2,1,3,5.5u25,5.5u25
124,58,H,Carolina ,0,4,2,6,-120,-130
124,59,V,Ottawa ,1,1,1,3,-104,-130
124,60,H,Florida ,1,0,0,1,5.5u25,5.5u25
124,61,V,Nashville ,0,0,0,0,5o20,5o20
124,62,H,St. Louis ,1,1,1,3,-165,-175
124,63,V,Chicago ,0,1,1,3,-130,-125
124,64,H,Dallas ,1,1,0,2,5.5,5.5
124,65,V,Columbus ,0,0,0,0,5.5u20,5.5u25
124,66,H,Colorado ,2,0,2,4,-170,-160
124,67,V,Los Angeles ,0,1,0,1,-125,-130
124,68,H,Edmonton ,0,0,1,2,5o35,5o40
124,69,V,Phoenix ,0,1,2,3,5.5u20,5.5u25
124,70,H,San Jose ,1,0,4,5,-175,-200
125,1,V,NY Islanders ,1,1,0,2,5.5u15,5.5u20
125,2,H,Boston ,1,1,2,4,-205,-200
125,3,V,Carolina ,0,0,3,3,5.5u20,5.5u25
125,4,H,Buffalo ,0,0,1,1,-145,-155
125,5,V,Washington ,0,0,2,2,5.5u30,5.5u45
125,6,H,New Jersey ,1,1,0,3,-135,-170
125,7,V,Ottawa ,0,4,0,4,5.5o35,5.5o35
125,8,H,Tampa Bay ,1,2,3,6,-115,-130
125,9,V,Minnesota ,0,2,1,3,5.5u20,5.5u45
125,10,H,Detroit ,0,4,1,5,-130,-125
125,11,V,Pittsburgh ,2,0,0,2,-135,-140
125,12,H,Winnipeg ,0,3,1,4,5.5o35,5.5o35
125,13,V,Vancouver ,2,1,2,5,5.5u09,5.5u15
125,14,H,Anaheim ,0,0,0,0,-115,-120
126,51,V,Colorado ,0,0,0,0,5.5u15,5.5u25
126,52,H,San Jose ,2,2,0,4,-160,-160
126,53,V,Toronto ,2,0,0,2,5.5u20,5.5u35
126,54,H,NY Rangers ,0,1,4,5,-170,-180
126,55,V,Chicago ,1,1,1,3,-145,-170
126,56,H,Columbus ,1,0,1,2,5.5o10,5.5o15
126,57,V,Philadelphia ,3,2,2,7,-125,-115
126,58,H,Florida ,0,1,0,1,5.5u35,5.5u45
126,59,V,St. Louis ,1,3,0,4,-130,-165
126,60,H,Dallas ,2,0,1,3,5o15,5o30
126,61,V,Los Angeles ,0,3,1,4,-130,-135
126,62,H,Phoenix ,0,1,1,2,5o30,5o45
126,63,V,Edmonton ,1,1,1,3,5.5u15,5.5u15
126,64,H,Calgary ,2,2,0,4,-120,-130
126,65,V,Nashville ,1,0,1,2,5.5u35,-115
126,66,H,Anaheim ,0,1,1,3,-120,5.5u40
127,1,V,Buffalo ,1,0,1,2,5.5u20,5.5u25
127,2,H,Washington ,1,1,1,3,-115,-135
127,3,V,Pittsburgh ,1,0,0,2,-120,-110
127,4,H,Ottawa ,0,1,0,1,5.5o40,5.5o35
127,5,V,New Jersey ,0,1,2,3,5o04,-110
127,6,H,Montreal ,2,0,1,4,-109,5o20
127,7,V,Philadelphia ,1,0,0,1,6u15,6u15
127,8,H,Tampa Bay ,3,0,2,5,-115,-145
127,9,V,Minnesota ,0,3,1,4,5o15,5o25
127,10,H,St. Louis ,1,1,2,5,-156,-160
127,11,V,Detroit ,0,0,1,1,5.5o09,5.5o15
127,12,H,Chicago ,1,0,0,2,-140,-150
127,13,V,NY Islanders ,1,0,3,4,5.5o20,5.5o15
127,14,H,Winnipeg ,1,1,2,5,-140,-135
127,15,V,Vancouver ,0,1,0,1,5.5o04,5.5u20
127,16,H,San Jose ,2,1,1,4,-125,-120
128,51,V,Boston ,2,1,2,5,-125,-110
128,52,H,Carolina ,1,2,0,3,5.5u10,5.5
128,53,V,Dallas ,0,1,0,1,-104,-120
128,54,H,Columbus ,0,1,1,2,5.5u15,5.5u35
128,55,V,Nashville ,0,0,0,0,-104,-120
128,56,H,Phoenix ,1,1,2,4,5.5u15,5.5u30
128,57,V,Colorado ,0,0,1,1,5.5u15,5.5u25
128,58,H,Edmonton ,2,1,1,4,-130,-150
128,59,V,Vancouver ,1,1,0,2,5o25,5o30
128,60,H,Los Angeles ,0,1,1,3,-130,-145
129,1,V,New Jersey ,0,1,0,1,5o20,5o30
129,2,H,Boston ,0,0,1,2,-150,-165
129,3,V,Philadelphia ,0,0,1,1,5.5u25,5.5u35
129,4,H,NY Rangers ,1,1,0,2,-151,-170
129,5,V,Toronto ,1,2,0,4,5.5u20,5.5u20
129,6,H,Buffalo ,1,1,1,3,-155,-155
129,7,V,NY Islanders ,1,3,0,4,6u20,5.5o30
129,8,H,Pittsburgh ,0,0,1,1,-210,-210
129,9,V,Winnipeg ,1,2,0,3,5.5u15,5.5u40
129,10,H,Montreal ,2,1,1,4,-145,-135
129,11,V,Florida ,1,0,1,2,5.5o20,5.5o15
129,12,H,Tampa Bay ,2,2,1,5,-175,-170
129,13,V,Washington ,2,0,0,2,5.5u20,5.5u20
129,14,H,Ottawa ,0,1,2,3,-145,-145
129,15,V,Dallas ,0,1,0,1,5.5u20,5.5u40
129,16,H,Detroit ,0,2,2,4,-151,-170
