"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","xPDO","dPDO","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","PENT/60","PEND/60"
"ANA",2014-03-07,1,65,66,54,12,55,60.92,49.85,2,2,0,50,1.85,1.85,2.68,1.62,1.06,62.34,2.48,1.5,5,5,0,6.45,88.24,94.69,21,20,18,35.59,30.51,33.9,0.54,28,31,47.46,9,5,8.31,4.62,24,29,-5,22.15,26.77,4.17,93.94,5.59,95.09,-1.42,-1.15,100.68,-5.99,48,33,15,59.26,44.31,30.46,31,17,14,64.58,28.62,15.69,4.62,4.62
"ANA",2014-03-10,1,60,91,41,50,68.94,91,41,1,3,-2,25,1,3,3.54,2.23,1.31,61.35,3.54,2.23,7,9,2,2.27,86.96,89.23,34,20,16,48.57,22.86,28.57,0.68,32,38,45.71,9,4,9,4,21,24,-3,21,24,1.49,89.66,5.29,92.3,-3.8,-2.64,97.59,-8.36,67,29,38,69.79,67,29,44,23,21,65.67,44,23,7,9
"ANA",2014-03-12,1,60,45,48,-3,48.39,45,48,2,7,-5,22.22,2,7,1.23,2.05,-0.82,37.57,1.23,2.05,5,3,-2,9.09,72,81.09,27,22,12,44.26,19.67,36.07,0.69,33,28,54.1,7,4,7,4,15,26,-11,15,26,6.67,78.79,4.11,93.79,2.55,-15,97.9,-16.81,30,33,-3,47.62,30,33,22,25,-3,46.81,22,25,5,3
"ANA",2014-03-14,1,60,63,67,-4,48.46,63,67,6,4,2,60,6,4,3.34,3.32,0.03,50.21,3.34,3.32,8,3,-5,18.18,89.47,107.66,22,25,23,31.43,32.86,35.71,0.49,36,34,51.43,0,9,0,9,20,20,0,20,20,12.77,92,7.11,93.37,5.65,-1.37,100.48,7.17,47,50,-3,48.45,47,50,33,38,-5,46.48,33,38,8,3
"ANA",2014-03-15,1,60,40,68,-28,37.04,40,68,2,1,1,66.67,2,1,2.22,3.46,-1.25,39,2.22,3.46,4,4,0,10,97.37,107.37,16,26,33,21.33,44,34.67,0.33,35,40,46.67,16,4,16,4,28,32,-4,28,32,5.88,98.04,6.52,93.21,-0.63,4.83,99.72,7.65,34,51,-17,40,34,51,20,38,-18,34.48,20,38,4,4
"ANA",2014-03-18,1,60,79,54,25,59.4,79,54,2,3,-1,40,2,3,4.3,3.26,1.04,56.87,4.3,3.26,4,6,2,4.44,90,94.44,31,22,19,43.06,26.39,30.56,0.62,37,35,51.39,4,3,4,3,33,25,8,33,25,3.03,92.68,6.51,92.05,-3.48,0.64,98.56,-4.12,66,41,25,61.68,66,41,45,30,15,60,45,30,4,6
"ANA",2014-03-20,1,60,48,65,-17,42.48,48,65,2,3,-1,40,2,3,2,2.93,-0.93,40.6,2,2.93,3,2,-1,11.11,89.29,100.4,23,24,20,34.33,29.85,35.82,0.53,33,34,49.25,13,9,13,9,27,32,-5,27,32,6.45,93.62,6.45,93.78,0,-0.16,100.23,0.17,31,47,-16,39.74,31,47,18,28,-10,39.13,18,28,3,2
"ANA",2014-03-23,1,60,73,52,21,58.4,73,52,6,2,4,75,6,2,5.06,2.09,2.97,70.79,5.06,2.09,1,3,2,15,93.33,108.33,27,24,18,39.13,26.09,34.78,0.6,39,30,56.52,13,4,13,4,15,24,-9,15,24,9.38,95.35,7.9,95.15,1.47,0.2,103.05,5.28,64,43,21,59.81,64,43,40,30,10,57.14,40,30,1,3
"ANA",2014-03-26,1,60,65,66,-1,49.62,65,66,3,2,1,60,3,2,3.29,3.17,0.11,50.89,3.29,3.17,3,4,1,8.82,94.12,102.94,20,23,21,31.25,32.81,35.94,0.49,26,38,40.62,7,3,7,3,14,15,-1,14,15,6.67,95.74,7.31,93.25,-0.64,2.5,100.56,2.39,45,47,-2,48.91,45,47,34,34,0,50,34,34,3,4
"ANA",2014-03-28,1,63.85,82,37,45,68.91,77.06,34.77,3,4,-1,42.86,2.82,3.76,5.07,1.74,3.33,74.49,4.76,1.63,6,8,2,5.88,82.61,88.49,30,23,19,41.67,26.39,31.94,0.61,33,39,45.83,10,3,9.4,2.82,17,24,-7,15.97,22.55,4.48,86.21,7.56,94.02,-3.09,-7.81,101.58,-13.09,67,29,38,69.79,62.96,27.25,51,23,28,68.92,47.92,21.61,5.64,7.52
"ANA",2014-03-29,1,60,44,60,-16,42.31,44,60,5,1,4,83.33,5,1,2.3,2.58,-0.28,47.08,2.3,2.58,5,7,2,23.81,96.88,120.68,21,20,30,29.58,42.25,28.17,0.41,35,36,49.3,7,7,7,7,20,24,-4,20,24,15.62,97.83,7.19,94.38,8.44,3.44,101.57,19.12,32,46,-14,41.03,32,46,21,32,-11,39.62,21,32,5,7
"ANA",2014-03-31,1,60.27,67,66,1,50.38,66.7,65.71,5,4,1,55.56,4.98,3.98,3.67,3.51,0.16,51.12,3.65,3.49,4,2,-2,13.89,89.19,103.08,22,23,30,29.33,40,30.67,0.42,43,32,57.33,13,4,12.94,3.98,29,20,9,28.87,19.91,10,91.49,7.34,92.54,2.66,-1.05,99.87,3.2,50,47,3,51.55,49.78,46.79,36,37,-1,49.32,35.84,36.84,3.98,1.99
"ANA",2014-04-02,1,59.37,47,47,0,50,47.5,47.5,3,2,1,60,3.03,2.02,2.85,2.16,0.69,56.84,2.88,2.19,6,6,0,11.54,93.75,105.29,25,16,20,40.98,32.79,26.23,0.56,35,26,57.38,5,2,5.05,2.02,43,22,21,43.46,22.23,8.57,94.87,8.14,94.45,0.43,0.42,102.59,2.69,35,39,-4,47.3,35.37,39.42,26,32,-6,44.83,26.28,32.34,6.06,6.06
